Log file         : logs/cgpsa_run_20260323_110842.txt
Loaded Benchmark : ../../src/plu_files/benchmarks/add4.plu
Inputs / Outputs : 9 / 5

--- Starting 1+lambda Evolution via CGP-SA Hybrid ---
Function set     : Reduced  {BUFa, NOTa, AND, OR} (4 gates)
max_generations  : 100000000
max_nodes (n_c)  : 5000
levels_back      : 5000
total_dimensions : 15005
(1 + lambda)     : 1 + 5
mutation_rate    : 0.02
Temp max         : 5
Temp min         : 0.1
Cooling rate     : 0.95

Total_dimensions: 15005
Generation 328 | Best fitness: 158400 | Best Hamming Distance: 976
Generation 329 | Best fitness: 158400 | Best Hamming Distance: 976
Generation 330 | Best fitness: 158400 | Best Hamming Distance: 976
Generation 331 | Best fitness: 158400 | Best Hamming Distance: 976
Generation 332 | Best fitness: 158400 | Best Hamming Distance: 976
Generation 333 | Best fitness: 158400 | Best Hamming Distance: 976
Generation 334 | Best fitness: 158400 | Best Hamming Distance: 976
Generation 335 | Best fitness: 158400 | Best Hamming Distance: 976
Generation 336 | Best fitness: 158400 | Best Hamming Distance: 976
Generation 337 | Best fitness: 158400 | Best Hamming Distance: 976
Generation 338 | Best fitness: 158400 | Best Hamming Distance: 976
Generation 339 | Best fitness: 158400 | Best Hamming Distance: 976
Generation 340 | Best fitness: 158400 | Best Hamming Distance: 976
Generation 341 | Best fitness: 158400 | Best Hamming Distance: 976
Generation 342 | Best fitness: 158400 | Best Hamming Distance: 976
Generation 343 | Best fitness: 158400 | Best Hamming Distance: 976
Generation 344 | Best fitness: 158400 | Best Hamming Distance: 976
Generation 345 | Best fitness: 158400 | Best Hamming Distance: 976
Generation 346 | Best fitness: 158400 | Best Hamming Distance: 976
Generation 347 | Best fitness: 160000 | Best Hamming Distance: 960
Generation 348 | Best fitness: 160000 | Best Hamming Distance: 960
Generation 349 | Best fitness: 160000 | Best Hamming Distance: 960
Generation 350 | Best fitness: 160000 | Best Hamming Distance: 960
Generation 351 | Best fitness: 160000 | Best Hamming Distance: 960
Generation 352 | Best fitness: 160000 | Best Hamming Distance: 960
Generation 353 | Best fitness: 160000 | Best Hamming Distance: 960
Generation 354 | Best fitness: 160000 | Best Hamming Distance: 960
