Log file         : logs/cgpsa_run_20260323_113825.txt
Loaded Benchmark : ../../src/plu_files/add1c.plu
Inputs / Outputs : 3 / 2

--- Starting 1+lambda Evolution via CGP-SA Hybrid ---
Function set     : Reduced  {BUFa, NOTa, AND, OR} (4 gates)
max_generations  : 10000
max_nodes (n_c)  : 5000
levels_back      : 5000
total_dimensions : 15002
(1 + lambda)     : 1 + 5
mutation_rate    : 0.02
Temp max         : 5
Temp min         : 0.1
Cooling rate     : 0.95

Total_dimensions: 15002
Generation 180 | Best fitness: 1400 | Best Hamming Distance: 2
Generation 181 | Best fitness: 1400 | Best Hamming Distance: 2
Generation 182 | Best fitness: 1400 | Best Hamming Distance: 2
Generation 183 | Best fitness: 1400 | Best Hamming Distance: 2
Generation 184 | Best fitness: 1400 | Best Hamming Distance: 2
Generation 185 | Best fitness: 1400 | Best Hamming Distance: 2
Generation 186 | Best fitness: 1400 | Best Hamming Distance: 2
Generation 187 | Best fitness: 1400 | Best Hamming Distance: 2
Generation 188 | Best fitness: 1400 | Best Hamming Distance: 2
Generation 189 | Best fitness: 1400 | Best Hamming Distance: 2
Generation 190 | Best fitness: 1400 | Best Hamming Distance: 2
Generation 191 | Best fitness: 1400 | Best Hamming Distance: 2
Generation 192 | Best fitness: 1400 | Best Hamming Distance: 2
Generation 193 | Best fitness: 1400 | Best Hamming Distance: 2
Generation 194 | Best fitness: 1400 | Best Hamming Distance: 2
Generation 195 | Best fitness: 1400 | Best Hamming Distance: 2
Generation 196 | Best fitness: 1400 | Best Hamming Distance: 2
Generation 197 | Best fitness: 1400 | Best Hamming Distance: 2
Generation 198 | Best fitness: 1400 | Best Hamming Distance: 2
Generation 199 | Best fitness: 1400 | Best Hamming Distance: 2
Generation 200 | Best fitness: 1400 | Best Hamming Distance: 2
Generation 201 | Best fitness: 1400 | Best Hamming Distance: 2
Generation 202 | Best fitness: 1400 | Best Hamming Distance: 2
Generation 203 | Best fitness: 1400 | Best Hamming Distance: 2
Generation 204 | Best fitness: 1400 | Best Hamming Distance: 2
Generation 205 | Best fitness: 1400 | Best Hamming Distance: 2
Generation 206 | Best fitness: 1400 | Best Hamming Distance: 2
Generation 207 | Best fitness: 1400 | Best Hamming Distance: 2
Generation 208 | Best fitness: 1400 | Best Hamming Distance: 2
Generation 209 | Best fitness: 1400 | Best Hamming Distance: 2
Generation 210 | Best fitness: 1400 | Best Hamming Distance: 2
Generation 211 | Best fitness: 1400 | Best Hamming Distance: 2
Generation 212 | Best fitness: 1400 | Best Hamming Distance: 2
Generation 213 | Best fitness: 1400 | Best Hamming Distance: 2
Generation 214 | Best fitness: 1400 | Best Hamming Distance: 2
Generation 215 | Best fitness: 1400 | Best Hamming Distance: 2
Generation 216 | Best fitness: 1400 | Best Hamming Distance: 2
Generation 217 | Best fitness: 1400 | Best Hamming Distance: 2
Generation 218 | Best fitness: 1400 | Best Hamming Distance: 2
Generation 219 | Best fitness: 1400 | Best Hamming Distance: 2
Generation 220 | Best fitness: 1400 | Best Hamming Distance: 2
Generation 221 | Best fitness: 1400 | Best Hamming Distance: 2
Generation 222 | Best fitness: 1400 | Best Hamming Distance: 2
Generation 223 | Best fitness: 1400 | Best Hamming Distance: 2
Generation 224 | Best fitness: 1400 | Best Hamming Distance: 2
Generation 225 | Best fitness: 1400 | Best Hamming Distance: 2
Generation 226 | Best fitness: 1400 | Best Hamming Distance: 2
Generation 227 | Best fitness: 1400 | Best Hamming Distance: 2
Generation 228 | Best fitness: 1400 | Best Hamming Distance: 2
Generation 229 | Best fitness: 1400 | Best Hamming Distance: 2
Generation 230 | Best fitness: 1400 | Best Hamming Distance: 2
Generation 231 | Best fitness: 1400 | Best Hamming Distance: 2
Generation 232 | Best fitness: 1400 | Best Hamming Distance: 2
Generation 233 | Best fitness: 1400 | Best Hamming Distance: 2
Generation 234 | Best fitness: 1400 | Best Hamming Distance: 2
Generation 235 | Best fitness: 1400 | Best Hamming Distance: 2
Generation 236 | Best fitness: 1400 | Best Hamming Distance: 2
Generation 237 | Best fitness: 1400 | Best Hamming Distance: 2
Generation 238 | Best fitness: 1400 | Best Hamming Distance: 2
Generation 239 | Best fitness: 1400 | Best Hamming Distance: 2
Generation 240 | Best fitness: 1400 | Best Hamming Distance: 2
Generation 241 | Best fitness: 1400 | Best Hamming Distance: 2
Generation 242 | Best fitness: 1400 | Best Hamming Distance: 2
Generation 243 | Best fitness: 1400 | Best Hamming Distance: 2
Generation 244 | Best fitness: 1400 | Best Hamming Distance: 2
Generation 245 | Best fitness: 1400 | Best Hamming Distance: 2
Generation 246 | Best fitness: 1400 | Best Hamming Distance: 2
Generation 247 | Best fitness: 1400 | Best Hamming Distance: 2
Generation 248 | Best fitness: 1400 | Best Hamming Distance: 2
Generation 249 | Best fitness: 1400 | Best Hamming Distance: 2
Generation 250 | Best fitness: 1400 | Best Hamming Distance: 2
Generation 251 | Best fitness: 1400 | Best Hamming Distance: 2
Generation 252 | Best fitness: 1400 | Best Hamming Distance: 2
Generation 253 | Best fitness: 1400 | Best Hamming Distance: 2
Generation 254 | Best fitness: 1400 | Best Hamming Distance: 2
Generation 255 | Best fitness: 1400 | Best Hamming Distance: 2
Generation 256 | Best fitness: 1400 | Best Hamming Distance: 2
Generation 257 | Best fitness: 1400 | Best Hamming Distance: 2
Generation 258 | Best fitness: 1400 | Best Hamming Distance: 2
Generation 259 | Best fitness: 1400 | Best Hamming Distance: 2
Generation 260 | Best fitness: 1400 | Best Hamming Distance: 2
Generation 261 | Best fitness: 1400 | Best Hamming Distance: 2
Generation 262 | Best fitness: 1400 | Best Hamming Distance: 2
Generation 263 | Best fitness: 1400 | Best Hamming Distance: 2
Generation 264 | Best fitness: 1400 | Best Hamming Distance: 2
Generation 265 | Best fitness: 1400 | Best Hamming Distance: 2
Generation 266 | Best fitness: 1400 | Best Hamming Distance: 2
Generation 267 | Best fitness: 1400 | Best Hamming Distance: 2
Generation 268 | Best fitness: 1400 | Best Hamming Distance: 2
Generation 269 | Best fitness: 1400 | Best Hamming Distance: 2
Generation 270 | Best fitness: 1400 | Best Hamming Distance: 2
Generation 271 | Best fitness: 1400 | Best Hamming Distance: 2
Generation 272 | Best fitness: 1400 | Best Hamming Distance: 2
Generation 273 | Best fitness: 1400 | Best Hamming Distance: 2
Generation 274 | Best fitness: 1400 | Best Hamming Distance: 2
Generation 275 | Best fitness: 1400 | Best Hamming Distance: 2
Generation 276 | Best fitness: 1400 | Best Hamming Distance: 2
Generation 277 | Best fitness: 1400 | Best Hamming Distance: 2
Generation 278 | Best fitness: 1400 | Best Hamming Distance: 2
Generation 279 | Best fitness: 1400 | Best Hamming Distance: 2
Generation 280 | Best fitness: 1400 | Best Hamming Distance: 2
Generation 281 | Best fitness: 1400 | Best Hamming Distance: 2
Generation 282 | Best fitness: 1400 | Best Hamming Distance: 2
Generation 283 | Best fitness: 1400 | Best Hamming Distance: 2
Generation 284 | Best fitness: 1400 | Best Hamming Distance: 2
Generation 285 | Best fitness: 1400 | Best Hamming Distance: 2
Generation 286 | Best fitness: 1400 | Best Hamming Distance: 2
Generation 287 | Best fitness: 1400 | Best Hamming Distance: 2
Generation 288 | Best fitness: 1400 | Best Hamming Distance: 2
Generation 289 | Best fitness: 1400 | Best Hamming Distance: 2
Generation 290 | Best fitness: 1400 | Best Hamming Distance: 2
Generation 291 | Best fitness: 1400 | Best Hamming Distance: 2
Generation 292 | Best fitness: 1400 | Best Hamming Distance: 2
Generation 293 | Best fitness: 1400 | Best Hamming Distance: 2
Generation 294 | Best fitness: 1400 | Best Hamming Distance: 2
Generation 295 | Best fitness: 1400 | Best Hamming Distance: 2
Generation 296 | Best fitness: 1400 | Best Hamming Distance: 2
Generation 297 | Best fitness: 1400 | Best Hamming Distance: 2
Generation 298 | Best fitness: 1400 | Best Hamming Distance: 2
Generation 299 | Best fitness: 1400 | Best Hamming Distance: 2
Generation 300 | Best fitness: 1400 | Best Hamming Distance: 2
Generation 301 | Best fitness: 1400 | Best Hamming Distance: 2
Generation 302 | Best fitness: 1400 | Best Hamming Distance: 2
Generation 303 | Best fitness: 1400 | Best Hamming Distance: 2
Generation 304 | Best fitness: 1400 | Best Hamming Distance: 2
Generation 305 | Best fitness: 1400 | Best Hamming Distance: 2
Generation 306 | Best fitness: 1400 | Best Hamming Distance: 2
Generation 307 | Best fitness: 1400 | Best Hamming Distance: 2
Generation 308 | Best fitness: 1400 | Best Hamming Distance: 2
Generation 309 | Best fitness: 1400 | Best Hamming Distance: 2
Generation 310 | Best fitness: 1400 | Best Hamming Distance: 2
Generation 311 | Best fitness: 1400 | Best Hamming Distance: 2
Generation 312 | Best fitness: 1400 | Best Hamming Distance: 2
Generation 313 | Best fitness: 1400 | Best Hamming Distance: 2
Generation 314 | Best fitness: 1400 | Best Hamming Distance: 2
Generation 315 | Best fitness: 1400 | Best Hamming Distance: 2
Generation 316 | Best fitness: 1400 | Best Hamming Distance: 2
Generation 317 | Best fitness: 1400 | Best Hamming Distance: 2
Generation 318 | Best fitness: 1400 | Best Hamming Distance: 2
Generation 319 | Best fitness: 1400 | Best Hamming Distance: 2
Generation 320 | Best fitness: 1400 | Best Hamming Distance: 2
Generation 321 | Best fitness: 1400 | Best Hamming Distance: 2
Generation 322 | Best fitness: 1400 | Best Hamming Distance: 2
Generation 323 | Best fitness: 1400 | Best Hamming Distance: 2
Generation 324 | Best fitness: 1400 | Best Hamming Distance: 2
Generation 325 | Best fitness: 1400 | Best Hamming Distance: 2
Generation 326 | Best fitness: 1400 | Best Hamming Distance: 2
Generation 327 | Best fitness: 1400 | Best Hamming Distance: 2
Generation 328 | Best fitness: 1400 | Best Hamming Distance: 2
Generation 329 | Best fitness: 1400 | Best Hamming Distance: 2
Generation 330 | Best fitness: 1400 | Best Hamming Distance: 2
Generation 331 | Best fitness: 1400 | Best Hamming Distance: 2
Generation 332 | Best fitness: 1400 | Best Hamming Distance: 2
Generation 333 | Best fitness: 1400 | Best Hamming Distance: 2
Generation 334 | Best fitness: 1400 | Best Hamming Distance: 2
Generation 335 | Best fitness: 1400 | Best Hamming Distance: 2
Generation 336 | Best fitness: 1400 | Best Hamming Distance: 2
Generation 337 | Best fitness: 1400 | Best Hamming Distance: 2
Generation 338 | Best fitness: 1400 | Best Hamming Distance: 2
Generation 339 | Best fitness: 1400 | Best Hamming Distance: 2
Generation 340 | Best fitness: 1400 | Best Hamming Distance: 2
Generation 341 | Best fitness: 1400 | Best Hamming Distance: 2
Generation 342 | Best fitness: 1400 | Best Hamming Distance: 2
Generation 343 | Best fitness: 1400 | Best Hamming Distance: 2
Generation 344 | Best fitness: 1400 | Best Hamming Distance: 2
Generation 345 | Best fitness: 1400 | Best Hamming Distance: 2
Generation 346 | Best fitness: 1400 | Best Hamming Distance: 2
Generation 347 | Best fitness: 1400 | Best Hamming Distance: 2
Generation 348 | Best fitness: 1400 | Best Hamming Distance: 2
Generation 349 | Best fitness: 1400 | Best Hamming Distance: 2
Generation 350 | Best fitness: 1400 | Best Hamming Distance: 2
Generation 351 | Best fitness: 1400 | Best Hamming Distance: 2
Generation 352 | Best fitness: 1400 | Best Hamming Distance: 2
Generation 353 | Best fitness: 1400 | Best Hamming Distance: 2
Generation 354 | Best fitness: 1400 | Best Hamming Distance: 2
Generation 355 | Best fitness: 1400 | Best Hamming Distance: 2
Generation 356 | Best fitness: 1400 | Best Hamming Distance: 2
Generation 357 | Best fitness: 1400 | Best Hamming Distance: 2
Generation 358 | Best fitness: 1400 | Best Hamming Distance: 2
Generation 359 | Best fitness: 1400 | Best Hamming Distance: 2
Generation 360 | Best fitness: 1400 | Best Hamming Distance: 2
Generation 361 | Best fitness: 1400 | Best Hamming Distance: 2
Generation 362 | Best fitness: 1400 | Best Hamming Distance: 2
Generation 363 | Best fitness: 1400 | Best Hamming Distance: 2
Generation 364 | Best fitness: 1400 | Best Hamming Distance: 2
Generation 365 | Best fitness: 1400 | Best Hamming Distance: 2
Generation 366 | Best fitness: 1400 | Best Hamming Distance: 2
Generation 367 | Best fitness: 1400 | Best Hamming Distance: 2
Generation 368 | Best fitness: 1400 | Best Hamming Distance: 2
Generation 369 | Best fitness: 1400 | Best Hamming Distance: 2
Generation 370 | Best fitness: 1400 | Best Hamming Distance: 2
Generation 371 | Best fitness: 1400 | Best Hamming Distance: 2
Generation 372 | Best fitness: 1400 | Best Hamming Distance: 2
Generation 373 | Best fitness: 1400 | Best Hamming Distance: 2
Generation 374 | Best fitness: 1400 | Best Hamming Distance: 2
Generation 375 | Best fitness: 1500 | Best Hamming Distance: 1
Generation 376 | Best fitness: 1500 | Best Hamming Distance: 1
Generation 377 | Best fitness: 1500 | Best Hamming Distance: 1
Generation 378 | Best fitness: 1500 | Best Hamming Distance: 1
Generation 379 | Best fitness: 1500 | Best Hamming Distance: 1
Generation 380 | Best fitness: 1500 | Best Hamming Distance: 1
Generation 381 | Best fitness: 1500 | Best Hamming Distance: 1
Generation 382 | Best fitness: 1500 | Best Hamming Distance: 1
Generation 383 | Best fitness: 1500 | Best Hamming Distance: 1
Generation 384 | Best fitness: 1500 | Best Hamming Distance: 1
Generation 385 | Best fitness: 1500 | Best Hamming Distance: 1
Generation 386 | Best fitness: 1500 | Best Hamming Distance: 1
Generation 387 | Best fitness: 1500 | Best Hamming Distance: 1
Generation 388 | Best fitness: 1500 | Best Hamming Distance: 1
Generation 389 | Best fitness: 1500 | Best Hamming Distance: 1
Generation 390 | Best fitness: 1500 | Best Hamming Distance: 1
Generation 391 | Best fitness: 1500 | Best Hamming Distance: 1
Generation 392 | Best fitness: 1500 | Best Hamming Distance: 1
Generation 393 | Best fitness: 1500 | Best Hamming Distance: 1
Generation 394 | Best fitness: 1500 | Best Hamming Distance: 1
Generation 395 | Best fitness: 1500 | Best Hamming Distance: 1
Generation 396 | Best fitness: 1500 | Best Hamming Distance: 1
Generation 397 | Best fitness: 1500 | Best Hamming Distance: 1
Generation 398 | Best fitness: 1500 | Best Hamming Distance: 1
Generation 399 | Best fitness: 1500 | Best Hamming Distance: 1
Generation 400 | Best fitness: 1500 | Best Hamming Distance: 1
Generation 401 | Best fitness: 1500 | Best Hamming Distance: 1
Generation 402 | Best fitness: 1500 | Best Hamming Distance: 1
Generation 403 | Best fitness: 1500 | Best Hamming Distance: 1
Generation 404 | Best fitness: 1500 | Best Hamming Distance: 1
Generation 405 | Best fitness: 1500 | Best Hamming Distance: 1
Generation 406 | Best fitness: 1500 | Best Hamming Distance: 1
Generation 407 | Best fitness: 1500 | Best Hamming Distance: 1
Generation 408 | Best fitness: 1500 | Best Hamming Distance: 1
Generation 409 | Best fitness: 1500 | Best Hamming Distance: 1
Generation 410 | Best fitness: 1500 | Best Hamming Distance: 1
Generation 411 | Best fitness: 1500 | Best Hamming Distance: 1
Generation 412 | Best fitness: 1500 | Best Hamming Distance: 1
Generation 413 | Best fitness: 1500 | Best Hamming Distance: 1
Generation 414 | Best fitness: 1500 | Best Hamming Distance: 1
Generation 415 | Best fitness: 1500 | Best Hamming Distance: 1
Generation 416 | Best fitness: 1500 | Best Hamming Distance: 1
Generation 417 | Best fitness: 1500 | Best Hamming Distance: 1
